,index,algo,cell,dset,measure,rel value,split,value
132,7,ringach,7.0,2,corr,-0.09316655440749064,test,0.1542953495659394
133,8,ringach,8.0,2,corr,-0.022884573375262618,test,0.502148441874935
134,9,ringach,9.0,2,corr,0.0541173454352917,test,0.23358284158945436
135,0,rupprecht,0.0,2,corr,-0.05743659498505069,test,0.2363258912890158
136,1,rupprecht,1.0,2,corr,0.04036735938140679,test,0.541052805248624
137,2,rupprecht,2.0,2,corr,0.04917980375245873,test,0.5337638402135984
138,3,rupprecht,3.0,2,corr,-0.001468649370491626,test,0.4467039562750491
139,4,rupprecht,4.0,2,corr,0.0749328760513272,test,0.4287060536506042
140,5,rupprecht,5.0,2,corr,0.04626276152879057,test,0.07680531185416481
141,6,rupprecht,6.0,2,corr,-0.027782122130261322,test,0.39889122299260743
142,7,rupprecht,7.0,2,corr,-0.016952226670831516,test,0.23050967730259853
143,8,rupprecht,8.0,2,corr,0.06531394939878876,test,0.5903469646489864
144,9,rupprecht,9.0,2,corr,0.08113613499481195,test,0.2606016311489746
145,0,speiser,0.0,2,corr,-0.005939074285208956,test,0.2878234119888575
146,1,speiser,1.0,2,corr,0.013622558942065321,test,0.5143080048092825
147,2,speiser,2.0,2,corr,0.03810626795648547,test,0.5226903044176251
148,3,speiser,3.0,2,corr,0.019220342279417546,test,0.4673929479249583
149,4,speiser,4.0,2,corr,0.11024104967166276,test,0.46401422727093977
150,5,speiser,5.0,2,corr,0.13732708422222237,test,0.1678696345475966
151,6,speiser,6.0,2,corr,0.04741389144446145,test,0.4740872365673302
152,7,speiser,7.0,2,corr,0.011052183197796273,test,0.2585140871712263
153,8,speiser,8.0,2,corr,0.05461549801988075,test,0.5796485132700784
154,9,speiser,9.0,2,corr,0.12470036804228588,test,0.30416586419644853
155,0,oopsi,0.0,2,corr,-0.21828148151418003,test,0.07548100475988644
156,1,oopsi,1.0,2,corr,-0.12890678938368144,test,0.37177865648353575
157,2,oopsi,2.0,2,corr,-0.0010784407460220358,test,0.4835055957151176
158,3,oopsi,3.0,2,corr,-0.1382136045448334,test,0.30995900110070734
159,4,oopsi,4.0,2,corr,-0.12660166630433517,test,0.22717151129494184
160,5,oopsi,5.0,2,corr,,test,
161,6,oopsi,6.0,2,corr,-0.33970026827980415,test,0.08697307684306457
162,7,oopsi,7.0,2,corr,-0.1797203202664806,test,0.06774158370694945
163,8,oopsi,8.0,2,corr,-0.04116653560185074,test,0.4838664796483469
164,9,oopsi,9.0,2,corr,-0.06974878523181435,test,0.1097167109223483
165,0,stm,0.0,3,corr,,test,0.31435027264945103
166,1,stm,1.0,3,corr,,test,0.20283524632842764
167,2,stm,2.0,3,corr,,test,0.48901187929741835
168,3,stm,3.0,3,corr,,test,0.291441444954879
169,4,stm,4.0,3,corr,,test,0.4123520683746885
170,5,stm,5.0,3,corr,,test,0.39001925792319636
171,0,chenkov,0.0,3,corr,0.047965608183200004,test,0.36231588083265104
172,1,chenkov,1.0,3,corr,0.08422674623606508,test,0.2870619925644927
173,2,chenkov,2.0,3,corr,0.0809234250838376,test,0.569935304381256
174,3,chenkov,3.0,3,corr,0.07916235917101205,test,0.37060380412589106
175,4,chenkov,4.0,3,corr,0.111190673016621,test,0.5235427413913095
176,5,chenkov,5.0,3,corr,0.013666611220287006,test,0.40368586914348337
177,0,deneux,0.0,3,corr,-0.032465606327724106,test,0.28188466632172693
178,1,deneux,1.0,3,corr,0.027956156200565296,test,0.23079140252899294
179,2,deneux,2.0,3,corr,0.10921550747161607,test,0.5982273867690344
