,index,algo,cell,dset,measure,split,value
188,3,speiser,3,1,corr_bits,test,1.8684426353778194
189,4,speiser,4,1,corr_bits,test,2.0669008763969066
190,0,speiser,0,1,rank,test,0.5644672874911009
191,1,speiser,1,1,rank,test,0.6667993192467321
192,2,speiser,2,1,rank,test,0.537644233064768
193,3,speiser,3,1,rank,test,0.5813082640005719
194,4,speiser,4,1,rank,test,0.4965782574910165
195,0,speiser,0,1,auc,test,0.8328327846186103
196,1,speiser,1,1,auc,test,0.891782945736434
197,2,speiser,2,1,auc,test,0.8613938809008871
198,3,speiser,3,1,auc,test,0.9274742213245456
199,4,speiser,4,1,auc,test,0.8849178102850248
200,0,bolte,0,1,corr,test,0.7146492804990574
201,1,bolte,1,1,corr,test,0.8549941724569584
202,2,bolte,2,1,corr,test,0.835216228210642
203,3,bolte,3,1,corr,test,0.8063064629635667
204,4,bolte,4,1,corr,test,0.8301834581571829
205,0,bolte,0,1,corr_bits,test,1.0312783807603607
206,1,bolte,1,1,corr_bits,test,1.894402559402402
207,2,bolte,2,1,corr_bits,test,1.7254038708484423
208,3,bolte,3,1,corr_bits,test,1.515109593257043
209,4,bolte,4,1,corr_bits,test,1.6859628241567703
210,0,bolte,0,1,rank,test,0.5506668846875723
211,1,bolte,1,1,rank,test,0.6456772438534787
212,2,bolte,2,1,rank,test,0.5111610318775203
213,3,bolte,3,1,rank,test,0.5617928061814351
214,4,bolte,4,1,rank,test,0.4680144241071825
215,0,bolte,0,1,auc,test,0.8251323620799403
216,1,bolte,1,1,auc,test,0.8793540051679587
217,2,bolte,2,1,auc,test,0.8410139087512651
218,3,bolte,3,1,auc,test,0.9125139523758902
219,4,bolte,4,1,auc,test,0.8612305836223798
220,0,oopsi,0,1,corr,test,0.6688816211129646
221,1,oopsi,1,1,corr,test,
222,2,oopsi,2,1,corr,test,0.8084139355167203
223,3,oopsi,3,1,corr,test,0.8526155828869648
224,4,oopsi,4,1,corr,test,0.8891323251762897
225,0,oopsi,0,1,corr_bits,test,0.8556993808884987
226,1,oopsi,1,1,corr_bits,test,
227,2,oopsi,2,1,corr_bits,test,1.5292105280946737
228,3,oopsi,3,1,corr_bits,test,1.872780544196104
229,4,oopsi,4,1,corr_bits,test,2.25536554848355
230,0,oopsi,0,1,rank,test,0.49978800704019527
231,1,oopsi,1,1,rank,test,
232,2,oopsi,2,1,rank,test,0.5319202509944321
233,3,oopsi,3,1,rank,test,0.5831433321546018
234,4,oopsi,4,1,rank,test,0.5198228914539859
235,0,oopsi,0,1,auc,test,0.787537848093854
236,1,oopsi,1,1,auc,test,0.5
237,2,oopsi,2,1,auc,test,0.8503212421362604
238,3,oopsi,3,1,auc,test,0.9096942436483468
239,4,oopsi,4,1,auc,test,0.8533200120645453
240,0,stm,0,2,corr,test,0.45512912259491156
241,1,stm,1,2,corr,test,0.7996106032975011
242,2,stm,2,2,corr,test,0.8112082261311682
243,3,stm,3,2,corr,test,0.8049881943884213
244,4,stm,4,2,corr,test,0.6343431955073299
245,5,stm,5,2,corr,test,0.10710311373449931
246,6,stm,6,2,corr,test,0.6462971159495131
247,7,stm,7,2,corr,test,0.49969184647109677
248,8,stm,8,2,corr,test,0.7906383132878341
249,9,stm,9,2,corr,test,0.3053321378737211
250,0,stm,0,2,corr_bits,test,0.3348665339112535
251,1,stm,1,2,corr_bits,test,1.4714371499221834
252,2,stm,2,2,corr_bits,test,1.548179774941813
253,3,stm,3,2,corr_bits,test,1.5063772293659263
254,4,stm,4,2,corr_bits,test,0.7427269189245645
255,5,stm,5,2,corr_bits,test,0.01664491699645176
256,6,stm,6,2,corr_bits,test,0.7801653821763271
257,7,stm,7,2,corr_bits,test,0.4144450415160653
258,8,stm,8,2,corr_bits,test,1.4154566820800696
259,9,stm,9,2,corr_bits,test,0.14118779739622606
260,0,stm,0,2,rank,test,0.42130849761488137
261,1,stm,1,2,rank,test,0.4236611074413507
262,2,stm,2,2,rank,test,0.540277362161719
263,3,stm,3,2,rank,test,0.7927725077471823
264,4,stm,4,2,rank,test,0.33039320025370433
265,5,stm,5,2,rank,test,0.3533748941822045
266,6,stm,6,2,rank,test,0.5135635850018857
267,7,stm,7,2,rank,test,0.5153308172302048
268,8,stm,8,2,rank,test,0.5210103597468925
269,9,stm,9,2,rank,test,0.14116625442337635
270,0,stm,0,2,auc,test,0.7206631046318248
271,1,stm,1,2,auc,test,0.9204237496920424
272,2,stm,2,2,auc,test,0.9272492494641353
273,3,stm,3,2,auc,test,0.9032908493478045
274,4,stm,4,2,auc,test,0.8558213716108454
275,5,stm,5,2,auc,test,0.6542857991152281
276,6,stm,6,2,auc,test,0.7974369178162952
277,7,stm,7,2,auc,test,0.753002811142346
278,8,stm,8,2,auc,test,0.9390859683794466
279,9,stm,9,2,auc,test,0.9174757281553398
280,0,chenkov,0,2,corr,test,0.4851831977015797
281,1,chenkov,1,2,corr,test,0.8605713093136275
282,2,chenkov,2,2,corr,test,0.840893713894487
283,3,chenkov,3,2,corr,test,0.8142416506515302
284,4,chenkov,4,2,corr,test,0.7363296606292196
285,5,chenkov,5,2,corr,test,0.2817174883267646
286,6,chenkov,6,2,corr,test,0.6947154348149661
287,7,chenkov,7,2,corr,test,0.525189334592073
288,8,chenkov,8,2,corr,test,0.8655003496785266
289,9,chenkov,9,2,corr,test,0.43097596478410966
290,0,chenkov,0,2,corr_bits,test,0.3872280559191815
291,1,chenkov,1,2,corr_bits,test,1.9466549500997028
292,2,chenkov,2,2,corr_bits,test,1.7715309254354563
293,3,chenkov,3,2,corr_bits,test,1.5691344067184831
294,4,chenkov,4,2,corr_bits,test,1.1271519204868046
295,5,chenkov,5,2,corr_bits,test,0.11929840162547405
296,6,chenkov,6,2,corr_bits,test,0.9507303983217688
297,7,chenkov,7,2,corr_bits,test,0.4655874054136078
298,8,chenkov,8,2,corr_bits,test,1.9947630423065676
299,9,chenkov,9,2,corr_bits,test,0.2964390623269086
300,0,chenkov,0,2,rank,test,0.45743592284577345
301,1,chenkov,1,2,rank,test,0.43363041824306175
302,2,chenkov,2,2,rank,test,0.5478565180924593
303,3,chenkov,3,2,rank,test,0.7435308936142189
304,4,chenkov,4,2,rank,test,0.3528104503268588
305,5,chenkov,5,2,rank,test,0.34932259858309184
306,6,chenkov,6,2,rank,test,0.555221762141084
307,7,chenkov,7,2,rank,test,0.530529394392175
308,8,chenkov,8,2,rank,test,0.5201571068889532
309,9,chenkov,9,2,rank,test,0.14178156163449285
310,0,chenkov,0,2,auc,test,0.7448943774105659
311,1,chenkov,1,2,auc,test,0.9305966165722264
312,2,chenkov,2,2,auc,test,0.93364872644716
313,3,chenkov,3,2,auc,test,0.863437219954197
314,4,chenkov,4,2,auc,test,0.8804720893141945
315,5,chenkov,5,2,auc,test,0.6561711350613105
316,6,chenkov,6,2,auc,test,0.8233309330099213
317,7,chenkov,7,2,auc,test,0.7648734985944288
318,8,chenkov,8,2,auc,test,0.9379397233201581
319,9,chenkov,9,2,auc,test,0.9191444174757282
320,0,deneux,0,2,corr,test,0.4685935985792677
321,1,deneux,1,2,corr,test,0.8703017619243637
322,2,deneux,2,2,corr,test,0.8547832647239223
323,3,deneux,3,2,corr,test,0.7812069645426692
324,4,deneux,4,2,corr,test,0.7944687196039123
325,5,deneux,5,2,corr,test,0.2615332603394865
326,6,deneux,6,2,corr,test,0.6912814233955108
327,7,deneux,7,2,corr,test,0.5175000019325289
328,8,deneux,8,2,corr,test,0.9035322236317685
329,9,deneux,9,2,corr,test,0.5666905008615196
330,0,deneux,0,2,corr_bits,test,0.35767727141337746
331,1,deneux,1,2,corr_bits,test,2.043498154836933
332,2,deneux,2,2,corr_bits,test,1.8924697560502415
333,3,deneux,3,2,corr_bits,test,1.3595061215241848
334,4,deneux,4,2,corr_bits,test,1.4390133414245727
335,5,deneux,5,2,corr_bits,test,0.10221690753548927
